"iso3c","country","colony","colony_gbr","colony_fra","colony_esp","colony_prt","colony_nld","colony_ita","colony_bel","colony_usa","colony_other","colonizer"
"COM","Comoros",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"CPV","Cape Verde",1,0,0,0,1,0,0,0,0,0,"Colony of PRT"
"CRI","Costa Rica",1,0,0,1,0,0,0,0,0,0,"Colony of ESP"
"CUB","Cuba",1,0,0,1,0,0,0,0,0,0,"Colony of ESP"
"CYP","Cyprus",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"CZE","Czechia",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"DDR","East Germany",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"DEU","Germany",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"DJI","Djibouti",1,0,1,0,0,0,0,0,0,0,"Colony of FRA"
"DMA","Dominica",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"DNK","Denmark",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"DOM","Dominican Republic",1,0,0,1,0,0,0,0,0,0,"Colony of ESP"
"DZA","Algeria",1,0,1,0,0,0,0,0,0,0,"Colony of FRA"
"ECU","Ecuador",1,0,0,1,0,0,0,0,0,0,"Colony of ESP"
"EGY","Egypt",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"ERI","Eritrea",1,0,0,0,0,0,1,0,0,0,"Colony of another country"
"ESH","Western Sahara",1,0,0,1,0,0,0,0,0,0,"Colony of ESP"
"ESP","Spain",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"EST","Estonia",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"ETH","Ethiopia",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"FIN","Finland",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"FJI","Fiji",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"FRA","France",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"FSM","Micronesia (Federated States of)",1,0,0,0,0,0,0,0,1,0,"Colony of another country"
"GAB","Gabon",1,0,1,0,0,0,0,0,0,0,"Colony of FRA"
"GBR","United Kingdom",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"GEO","Georgia",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"GHA","Ghana",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"GIN","Guinea",1,0,1,0,0,0,0,0,0,0,"Colony of FRA"
"GMB","Gambia",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"GNB","Guinea-Bissau",1,0,0,0,1,0,0,0,0,0,"Colony of PRT"
"GNQ","Equatorial Guinea",1,0,0,1,0,0,0,0,0,0,"Colony of ESP"
"GRC","Greece",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"GRD","Grenada",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"GTM","Guatemala",1,0,0,1,0,0,0,0,0,0,"Colony of ESP"
"GUY","Guyana",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"HND","Honduras",1,0,0,1,0,0,0,0,0,0,"Colony of ESP"
"HRV","Croatia",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"HTI","Haiti",1,0,1,0,0,0,0,0,0,0,"Colony of FRA"
"HUN","Hungary",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"IDN","Indonesia",1,0,0,0,0,1,0,0,0,0,"Colony of another country"
"IND","India",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"IRL","Ireland",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"IRN","Iran",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"IRQ","Iraq",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"ISL","Iceland",1,0,0,0,0,0,0,0,0,1,"Colony of another country"
"ISR","Israel",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"ITA","Italy",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"JAM","Jamaica",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"JOR","Jordan",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"JPN","Japan",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"KAZ","Kazakhstan",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"KEN","Kenya",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"KGZ","Kyrgyzstan",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"KHM","Cambodia",1,0,1,0,0,0,0,0,0,0,"Colony of FRA"
"KIR","Kiribati",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"KNA","St. Kitts & Nevis",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"KOR","South Korea",1,0,0,0,0,0,0,0,0,1,"Colony of another country"
"KSV","Kosovo",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"KWT","Kuwait",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"LAO","Laos",1,0,1,0,0,0,0,0,0,0,"Colony of FRA"
