"iso3c","year","imports","exports","total_trade","trade_balance","imports.perc.gdp.pwt","imports.perc.gdp.gl","exports.perc.gdp.pwt","exports.perc.gdp.gl","total.trade.perc.gdp.pwt","total.trade.perc.gdp.gl","trade.balance.perc.gdp.pwt","trade.balance.perc.gdp.gl","imports.per.capita.un","imports.per.capita.cow","exports.per.capita.un","exports.per.capita.cow","total.trade.per.capita.un","total.trade.per.capita.cow","trade.balance.per.capita.un","trade.balance.per.capita.cow","trade.balance.perc.total.trade"
"SDN",2003,2731247447.92831,2609368000,5340615447.92831,121879447.92831,0.0246841602495785,0.0457828506148485,0.0235826519164268,0.0437398323003584,0.0482668121660053,0.089522682915207,0.00110150833315178,0.00204301831449015,73.9414003987306,NA,70.6418322594618,NA,144.583232658192,NA,3.29956813926877,NA,0.0228212364504897
"SDN",2004,4085879000,3773696000,7859575000,312183000,0.0351095151676835,0.0626237767209073,0.0324269605023121,0.0578389853729347,0.0675364756699955,0.120462762093842,0.00268255466537137,0.00478479134797262,107.596750408174,NA,99.3757834307684,NA,206.972533838942,NA,8.22096697740559,NA,0.0397200866459064
"SDN",2005,6689962000,4824278000,11514240000,1865684000,0.0527210742673393,0.089414171394,0.0380183203916989,0.0644785157141855,0.0907393946590382,0.153892687108186,0.0147027538756403,0.0249356556798146,171.445170549191,NA,123.632864355091,NA,295.078034904282,NA,47.8123061941006,NA,0.162032752487355
"SDN",2006,8073707000,5656574000,13730281000,2417133000,0.0597208036404319,0.0929265369408256,0.0418413926999794,0.0651058841706187,0.101562196340411,0.158032421111444,0.0178794109404525,0.0278206527702069,201.464928259513,NA,141.149694323144,NA,342.614622582657,NA,60.3152339363693,NA,0.176043957148437
"SDN",2007,8741516000,8867285000,17608801000,-125769000,0.06113412522411,0.100619739686557,0.062013695517788,0.102067411239253,0.123147820741898,0.20268715092581,-0.000879570293678017,-0.00144767155269619,212.482158483228,NA,215.539256198347,NA,428.021414681575,NA,-3.05709771511911,NA,-0.00714239430611999
"SDN",2008,9332468000,11670502000,21002970000,-2338034000,0.0638735729421412,0.109638111811544,0.0798756192647437,0.137105404826767,0.143749192206885,0.246743516638312,-0.0160020463226026,-0.027467293015223,221.054242266332,NA,276.434269742764,NA,497.488512009096,NA,-55.3800274764319,NA,-0.111319208664298
"SDN",2009,9656037000,8257105000,17913142000,1398932000,0.0606913350448432,0.0975646833867044,0.0518985921507394,0.0834298620661638,0.112589927195583,0.180994545452868,0.00879274289410371,0.0141348213205406,222.889917363003,NA,190.598425742117,NA,413.48834310512,NA,32.2914916208855,NA,0.0780952889225129
"SDN",2010,10001709366.6188,11404279508.939,21405988875.5578,-1402570142.3202,0.0577857283847661,0.0965385315704264,0.0658891969333726,0.110076423644758,0.123674925318139,0.206614955215184,-0.00810346854860645,-0.0135378920743315,224.995149182705,NA,256.546903672171,NA,481.542052854876,NA,-31.5517544894653,NA,-0.0655223241717047
"SDN",2011,9227178000,9688841000,18916019000,-461663000,0.0534712223332997,0.0862208987233707,0.0561465457004287,0.0905347852407141,0.109617768033728,0.176755683964085,-0.00267532336712895,-0.00431388651734339,262.38172150027,253.278197139799,275.509454886684,265.95045428344,537.891176386954,519.228651423238,-13.1277333864134,-12.6722571436414,-0.0244059281183847
"SDN",2012,9475018000,3364970000,12839988000,6110048000,0.0561425847256608,0.0905283982761112,0.0199385492802554,0.0321503710438509,0.0760811340059162,0.122678769319962,0.0362040354454054,0.0583780272322603,263.268074465129,254.739024062374,93.4973603778827,90.4683425191558,356.765434843012,345.20736658153,169.770714087246,164.270681543218,0.475860880866867
"SDN",2013,9918068000,7086219000,17004287000,2831849000,0.0575027413834891,0.0927216140719187,0.0410843138546506,0.0662473440741783,0.0985870552381397,0.158968958146097,0.0164184275288385,0.0264742699977404,269.147028493894,NA,192.299023066486,NA,461.44605156038,NA,76.8480054274084,NA,0.166537356138484
