"iso3c","year","mil.expenditure.per.capita.cow.un.ln","mil.expenditure.perc.gdp.cow.pwt.ln","mil.expenditure.per.personnel.cow.cow.ln","mil.personnel.per.capita.cow.un.ln","gdp.per.mil.personnel.pwt.cow.ln","mil.cap","mil.cap.sq"
"BOL",1974,3.72958638693529,-0.112623162806638,9.33661319312719,-5.60702680619189,14.0544065419219,-0.576631974768213,0.332504434325089
"BOL",1975,4.00054236176805,0.109364643769636,9.52380166157167,-5.52325929980363,14.0196072037901,-0.275608192054011,0.0759598755272805
"BOL",1976,4.06213372756908,0.147761490948808,9.51200099224431,-5.44986726467524,13.9694096872836,-0.209516430660958,0.043897134716908
"BOL",1977,4.01203604281464,0.0711691832176018,9.57923485235074,-5.5671988095361,14.1132358551212,-0.288257732810851,0.0830925205252521
"BOL",1978,4.07841777861641,0.139152623938621,9.66753734495247,-5.58911956633606,14.1335549070019,-0.210714015308229,0.0444003962473167
"BOL",1979,4.19102591543653,0.272427384964832,9.80214470522931,-5.61111878979278,14.1348875062526,-0.0697563763034195,0.00486595203498427
"BOL",1980,4.35203667509666,0.469134376893729,9.80271741089786,-5.4506807358012,13.9387532199922,0.146560622038326,0.0214800159322611
"BOL",1981,4.51283449955752,0.64231664892987,9.90506246555546,-5.39222796599794,13.8679160026137,0.345311723441906,0.11924018634642
"BOL",1982,4.5362582330046,0.73161587984478,9.94979123970377,-5.41353300669917,13.8233455458471,0.402672619104961,0.162145238176849
"BOL",1983,4.44139426862801,0.703601028731554,9.83838316268308,-5.39698889405507,13.7399523199396,0.323588319853443,0.104709400745574
"BOL",1984,4.53269650119731,0.821692969436437,9.91407399644374,-5.38137749524642,13.6975512129954,0.444682526110811,0.197742549028292
"BOL",1985,3.90166952828702,0.221023347853105,9.30370320238039,-5.40203367409337,13.6878500405154,-0.285093763302793,0.0812784538741487
"BOL",1986,3.5459245449174,-0.0894171952234841,8.89904570350611,-5.35312115858871,13.5936330847177,-0.679452873960663,0.461656207933404
"BOL",1987,4.15182517215338,0.510642222252657,9.52478608169718,-5.3729609095438,13.6193140454326,0.0298162952889462,0.000889011464757636
"BOL",1988,3.99132526005627,0.340587081185139,9.45288450899437,-5.4615592489381,13.7174676137973,-0.169112795928352,0.0285991377467046
"BOL",1989,4.00751382419733,0.33909794696471,9.41960620500421,-5.41209238080688,13.6856784440276,-0.155343249857688,0.024131525276348
"BOL",1990,3.98429601451967,0.290167109808771,9.41597809313512,-5.43168207861546,13.7309811693144,-0.196027490910322,0.0384267771925964
"BOL",1991,3.49757039751949,-0.228079256501501,8.85372776375688,-5.35615736623739,13.6869772062465,-0.779203277536088,0.607157747722981
"BOL",1992,3.40189820165019,-0.320421236525097,8.8085092778335,-5.4066110761833,13.7341007003467,-0.893374947297722,0.798118796459208
"BOL",1993,3.42858892469067,-0.315795981650011,8.85491464743788,-5.42632572274721,13.775880815076,-0.873593285281963,0.763165228089733
"BOL",1994,3.52081087372287,-0.249501006010343,9.1004059197372,-5.57959504601432,13.9550771117356,-0.786753499257377,0.618981068593728
"BOL",1995,3.47860372741112,-0.317641115076631,9.07795118393044,-5.59934745651932,14.0007624849952,-0.84990552789327,0.722339406343538
"BOL",1996,3.51405852956344,-0.305267408160737,8.96873193455456,-5.45467340499112,13.8791695287034,-0.810118712632661,0.6562923285576
"BOL",1997,3.45024362700467,-0.397676878972351,8.92467646368064,-5.47443283667597,13.9275235286411,-0.899964144594371,0.809935461555478
"BOL",1998,3.7107235994803,-0.166765390067405,9.20465758884068,-5.49393398936038,13.9765931648962,-0.608499874124518,0.370272096809554
"BOL",1999,3.33366989082575,-0.528706354376787,8.84697643988665,-5.5133065490609,13.9808529802515,-1.04642251637674,1.09500008278024
"BOL",2000,3.12300913532499,-0.745131558111868,8.68609172787805,-5.56308259255307,14.036393471978,-1.30020881869987,1.69054297222492
"BOL",2001,3.13724287037133,-0.729063379710614,8.71885771105332,-5.58161484068199,14.053091276752,-1.2837332280788,1.64797100087361
"BOL",2002,3.16948453240914,-0.70306282285916,8.76940999021615,-5.59992545780701,14.0776429990634,-1.24985841382982,1.5621460546212
"BOL",2003,3.17786463348805,-0.703453705710858,8.79577144961855,-5.6179068161305,14.1043953413175,-1.24524714012763,1.55064043999605
"BOL",2004,3.1036541804446,-0.800774582237031,8.73933624239686,-5.63568206195227,14.145281010622,-1.34461781386501,1.80799706536313
"BOL",2005,3.04944182452324,-0.880894898148758,8.70247910017421,-5.65303727565097,14.1885441843111,-1.42174206290986,2.02135049344718
"BOL",2006,3.05278295779513,-0.907243051878679,8.69221544572858,-5.63943248793345,14.2046286835954,-1.43098597004916,2.04772084647753
"BOL",2007,3.04954859786633,-0.938232577549162,8.37372438710975,-5.32417578924342,13.917127150647,-1.42839934159431,2.04032467906707
"BOL",2008,3.41670156819812,-0.61404736589666,8.75757854916495,-5.34087698096683,13.9767961010497,-1.01751531003683,1.03533740615935
"BOL",2009,3.55175518178397,-0.495588100126377,8.90905900043633,-5.35730381865237,14.0098172865508,-0.867384293351045,0.752355512352092
"BOL",2010,3.62690536399754,-0.444714133968948,9.00037053455753,-5.37346517055998,14.0502548545146,-0.791381182304733,0.626284175706038
"BOL",2011,3.5177669186534,-0.58858041672544,8.90723563140485,-5.38946871275145,14.1009862341184,-0.937244262773596,0.878426808102021
"BOL",2012,3.60423588667753,-0.536216390327678,9.00955372776325,-5.40531784108572,14.150940304079,-0.852538455577203,0.726821818237963
"PRY",1950,4.31640402306754,0.793206188147928,9.81970097030211,-5.50329694723458,13.6316649681423,0.271203234771191,0.0735511945503578
"PRY",1951,4.54893522518593,1.18985518440468,10.0783643126974,-5.52942908751142,13.4936793142808,0.620810246571435,0.385405362248086
"PRY",1952,3.83880735933006,0.497941083925795,9.39370305327855,-5.55489569394848,13.5009321553408,-0.208113488432042,0.0433112240673537
"PRY",1953,4.20354553737812,0.907514565148113,9.78327536336434,-5.57972982598622,13.4809309842043,0.24088318129136,0.0580247070290461
"PRY",1954,4.56765854005718,1.23663462477022,10.1728476734501,-5.60518913339296,13.541383234668,0.65141241436733,0.424338133591874
"PRY",1955,4.39655227463213,1.030951711618,10.0271665063909,-5.63061423175877,13.601384980761,0.4320906717922,0.186702348649835
"PRY",1956,3.26506520733758,-0.0919584303396181,8.76690633833017,-5.50184113099259,13.4640349546579,-0.887859074373979,0.788293735948219
"PRY",1957,3.20770635252682,-0.175416472587096,8.73543331196771,-5.52772695944089,13.5160199705429,-0.969305250339874,0.939552668336445
"PRY",1958,3.34660736496212,-0.0626792810535919,8.76658911387451,-5.41998174891239,13.4344385809162,-0.811483292588727,0.658505134150641
"PRY",1959,3.1855097842837,-0.201055956251363,8.31271525761113,-5.12720547332743,13.1189413998506,-0.972287134605831,0.945342272120018
"PRY",1960,3.10567240759502,-0.292864654857085,8.2589640020928,-5.15329159449778,13.156998842938,-1.07353616441132,1.15247989629897
"PRY",1961,3.08600254348823,-0.352121284459144,7.71868549519847,-4.63268295171024,12.6759769656457,-1.0831821935669,1.1732836644604
"PRY",1962,3.05032436033953,-0.336240644749594,7.76335194218404,-4.7130275818445,12.7047627729217,-1.10580660887972,1.22280825624208
"PRY",1963,3.19299746827901,-0.201717762588632,7.98975983125059,-4.79676236297157,12.7966477798273,-0.946882122106119,0.896585753164186
"PRY",1964,3.75952658569692,0.36779474211117,8.42013147857311,-4.66060489287619,12.65750692245,-0.270144806713291,0.0729782165941611
"PRY",1965,3.80404891306543,0.365836075885167,8.49125980938973,-4.6872108963243,12.7305939194927,-0.241326751222891,0.0582386008557951
"PRY",1966,3.90310041006931,0.494685140594086,8.61667646990119,-4.71357605983188,12.7271615152952,-0.112286372206824,0.0126082293833694
"PRY",1967,3.51265282258748,0.0462786518124288,8.25322764558177,-4.74057482299429,12.8121191797574,-0.600950256867851,0.361141211229536
"PRY",1968,3.44244463666086,-0.011121590697558,8.20930841164694,-4.76686377498608,12.8256001883326,-0.679176411823043,0.461280598376823
"PRY",1969,3.45863971092791,-0.0130162490440282,8.25153350299895,-4.79289379207104,12.8697199380311,-0.67026340283717,0.449253029182862
"PRY",1970,3.3760937441653,-0.135126058761685,8.19395302356374,-4.81785927939844,12.9342492683135,-0.787660089821118,0.620408417097012
"PRY",1971,3.57793136489083,0.035634767577757,8.70783007981391,-5.12989871492307,13.2773654982242,-0.58403477196497,0.341096614864175
"PRY",1972,3.59189729589226,0.00891362332292719,8.74595930645279,-5.15406201056054,13.342215869118,-0.588300284122914,0.346097224299101
"PRY",1973,3.60809596818307,-0.0236153193807225,8.78575115832388,-5.17765519014081,13.4145366636927,-0.5936987279378,0.352478179554962
"PRY",1974,3.62514941663804,-0.0639908306191501,8.82695588280524,-5.20180646616719,13.4961168994125,-0.602234014372651,0.362685808067398
"PRY",1975,3.79774036614744,0.0633715042309908,9.02384539858155,-5.22610503243411,13.5656440803387,-0.421922020598405,0.17801819146584
"PRY",1976,3.79911267005693,0.0198446198400198,9.05033842907111,-5.25122575901419,13.6356639952192,-0.443060573846374,0.196302672097079
"PRY",1977,3.8682626407698,0.0104168756180837,9.14467517192979,-5.27641253115999,13.7394284822998,-0.400318793609173,0.160255136516704
"PRY",1978,3.91966548288386,-0.0194606501859857,9.22230682091195,-5.30264133802809,13.846937657086,-0.37980916075635,0.144254998594443
"PRY",1979,3.95427080653234,-0.0658975883918853,9.28344063656314,-5.3291698300308,13.9545084109431,-0.378979346829454,0.14362534532328
"PRY",1980,4.21968290295011,0.118918212723992,9.57658359359704,-5.35690069064693,14.0628355668611,-0.106312109101549,0.0113022645416197
"PRY",1981,4.32325723446435,0.166826870012123,9.70805806090052,-5.38480082643617,14.1464013768765,-0.0123960016988555,0.000153660858118028
"PRY",1982,4.46431906588057,0.34669906781326,9.81350776280187,-5.34918869692129,14.0719788809767,0.174187163021718,0.0303411677615547
"PRY",1983,4.34581470277067,0.287632725742102,9.72398245080644,-5.37816774803577,14.0415199110524,0.0609588154451805,0.00371597718047957
"PRY",1984,3.97046693419416,-0.0889882101941817,9.31701408383785,-5.34654714964368,14.0111724800201,-0.379538590055603,0.144049541341395
"PRY",1985,3.6568678777613,-0.412784027988942,9.22630229988642,-5.56943442212512,14.2442565138635,-0.767301981425471,0.588752330699454
"PRY",1986,3.85510471471971,-0.18617372878509,9.31946604054138,-5.46436132582167,14.1108099553146,-0.514045239364919,0.264242508113736
"PRY",1987,3.70941994221494,-0.346296022783116,9.20170948277691,-5.49228954056197,14.1531756915481,-0.694086948697848,0.481756692352689
"PRY",1988,3.8245530173518,-0.265133591378652,9.34451280908778,-5.51995979173598,14.2148165864545,-0.576306065712742,0.332128681377299
"PRY",1989,3.41487373788992,-0.704003221965968,8.96200240250074,-5.54712866461082,14.2711758104548,-1.07403588173556,1.15355307525549
"PRY",1990,3.05557376404531,-1.06730938208601,8.62915263616967,-5.57357887212435,14.3016322042438,-1.50052440502719,2.25157349008219
"PRY",1991,3.84015100561827,-0.281580307247238,9.43926716804612,-5.59911616242785,14.3260176612814,-0.577971091801191,0.33405058295786
"PRY",1992,3.86796716143612,-0.246477341660482,9.49221027394139,-5.62424311250527,14.34385780159,-0.543339972158569,0.295218325345275
"PRY",1993,3.6882187339049,-0.442518970322298,9.33675273433062,-5.64853400042572,14.384441890641,-0.764131977053883,0.583897678356276
"PRY",1994,3.44185595711104,-0.695639664708365,9.11410476409536,-5.67224880698431,14.4149146147918,-1.05880314609233,1.12106410217502
"PRY",1995,3.67683493449788,-0.490241152699109,9.37245922145262,-5.69562428695474,14.4678705601398,-0.797603441513541,0.636171249914245
"PRY",1996,3.80312055994518,-0.345266042312478,9.52158637151194,-5.71846581156676,14.4720225998125,-0.641530582360468,0.411561488103762
"PRY",1997,3.76241353816009,-0.393266664601534,9.503009985939,-5.74059644777892,14.5014468365286,-0.694262769635167,0.482000793301493
"PRY",1998,3.72926905019195,-0.410638586994652,9.491516954541,-5.76224790434905,14.5073257275237,-0.727171607310096,0.528778546477948
"PRY",1999,3.63573114431885,-0.468098739179122,9.35835461527108,-5.72262347095223,14.4316235404383,-0.817796764257258,0.668791547629642
