"iso3c","year","shec"
"BEL",1985,24.71
"BEL",1986,24.69
"BEL",1987,24.64
"BEL",1988,24.58
"BEL",1989,24.4
"BEL",1990,24.17
"BEL",1991,23.86
"BEL",1992,23.64
"BEL",1993,23.44
"BEL",1994,23.28
"BEL",1995,23.12
"BEL",1996,22.93
"BEL",1997,22.78
"BEL",1998,22.57
"BEL",1999,22.43
"BEL",2000,22.25
"BEL",2001,21.95
"BEL",2002,21.81
"BEL",2003,21.71
"BEL",2004,21.68
"BEL",2005,21.62
"BEL",2006,21.44
"BEL",2007,21.3
"BEL",2008,21.08
"BEL",2009,20.82
"BTN",1970,50.36
"BTN",1971,50.03
"BTN",1972,49.72
"BTN",1973,49.47
"BTN",1974,49.24
"BTN",1975,49
"BTN",1976,48.88
"BTN",1977,48.63
"BTN",1978,48.36
"BTN",1979,48.03
"BTN",1980,47.59
"BTN",1981,47.29
"BTN",1982,46.77
"BTN",1983,46.16
"BTN",1984,45.24
"BTN",1985,44.49
"BTN",1986,43.69
"BTN",1987,43.11
"BTN",1988,41.9
"BTN",1989,40.71
"BTN",1990,39.81
"BTN",1991,38.97
"BTN",1992,37.75
"BTN",1993,36.28
"BTN",1994,35.35
"BTN",1995,34.03
"BTN",1996,33.05
"BTN",1997,32.45
"BTN",1998,32.3
"BTN",1999,32.16
"BTN",2000,31.68
"BTN",2001,31.27
"BTN",2002,30.37
"BTN",2003,29.47
"BTN",2004,28.86
"BTN",2005,28.06
"BTN",2006,27.73
"BTN",2007,27.7
"BTN",2008,27.65
"BOL",1950,72.39
"BOL",1951,72.65
"BOL",1952,72.07
"BOL",1953,71.91
"BOL",1954,72.43
"BOL",1955,72.29
"BOL",1956,71.19
"BOL",1957,70.41
"BOL",1958,70.1
"BOL",1959,70.15
"BOL",1960,70.34
"BOL",1961,70.19
"BOL",1962,70.06
"BOL",1963,69.14
"BOL",1964,68.49
"BOL",1965,67.83
"BOL",1966,67.45
"BOL",1967,67.11
"BOL",1968,66.77
"BOL",1969,66.58
"BOL",1970,66.39
"BOL",1971,66.35
"BOL",1972,65.99
"BOL",1973,65.32
"BOL",1974,65.13
"BOL",1975,65
"BOL",1976,64
"BOL",1977,63.72
"BOL",1978,63.16
"BOL",1979,62.19
"BOL",1980,61.92
"BOL",1981,62.03
"BOL",1982,62.22
"BOL",1983,63.04
"BOL",1984,63.72
"BOL",1985,64.04
"BOL",1986,64.12
"BOL",1987,64.22
"BOL",1988,64.44
"BOL",1989,65.02
"BOL",1990,65.73
"BOL",1991,66.12
"BOL",1992,66.16
"BOL",1993,66.12
"BOL",1994,66.17
"BOL",1995,66.35
"BOL",1996,66.33
"BOL",1997,65.92
"BOL",1998,64.94
"BOL",1999,63.67
"BOL",2000,63.11
"BOL",2001,62.93
"BOL",2002,62.99
"BOL",2003,62.91
"BOL",2004,63.11
"BOL",2005,63.39
"BOL",2006,63.4
"BOL",2007,63.5
"BOL",2008,63.34
"BIH",1992,44.22
"BIH",1993,43
"BIH",1994,42.12
"BIH",1995,41.58
"BIH",1996,41.66
"BIH",1997,39.39
"BIH",1998,37.23
"BIH",1999,35.49
"BIH",2000,34.54
"BIH",2001,34.11
"BIH",2002,33.89
"BIH",2003,33.83
"BIH",2004,33.81
"BIH",2005,33.43
"BIH",2006,33.05
"BIH",2007,32.8
"BIH",2008,32.03
"BWA",1975,60.02
"BWA",1976,57.76
"BWA",1977,55.84
"BWA",1978,55.88
"BWA",1979,55.23
"BWA",1980,54.07
"BWA",1981,52.24
"BWA",1982,50.69
"BWA",1983,48.9
"BWA",1984,48.45
"BWA",1985,48.22
"BWA",1986,46.85
"BWA",1987,46.99
"BWA",1988,45.66
"BWA",1989,48.02
"BWA",1990,45.74
"BWA",1991,43.47
"BWA",1992,41.67
"BWA",1993,40.87
"BWA",1994,40.18
"BWA",1995,39.61
"BWA",1996,39.31
"BWA",1997,39.42
"BWA",1998,38.97
"BWA",1999,37.46
"BWA",2000,36.7
"BWA",2001,35.63
"BWA",2002,34.77
"BWA",2003,34.01
"BWA",2004,33.41
"BWA",2005,32.25
"BWA",2006,32.17
"BWA",2007,31.9
"BWA",2008,31.85
"BRA",1950,63.86
"BRA",1951,63.05
"BRA",1952,61.93
"BRA",1953,60.25
"BRA",1954,59.98
"BRA",1955,59.14
"BRA",1956,58.3
"BRA",1957,57.99
"BRA",1958,56.99
"BRA",1959,56.26
"BRA",1960,55.01
"BRA",1961,54.35
"BRA",1962,53.6
"BRA",1963,52.83
"BRA",1964,52.54
"BRA",1965,52.25
"BRA",1966,51.68
"BRA",1967,51.05
"BRA",1968,50.76
"BRA",1969,50.18
"BRA",1970,48.96
"BRA",1971,48.06
"BRA",1972,47.05
"BRA",1973,45.92
"BRA",1974,44.58
"BRA",1975,43.3
"BRA",1976,42.06
"BRA",1977,40.95
"BRA",1978,40.12
"BRA",1979,39.38
"BRA",1980,38.76
"BRA",1981,38.04
"BRA",1982,37.62
"BRA",1983,37.39
"BRA",1984,37.41
"BRA",1985,37.41
"BRA",1986,37.36
"BRA",1987,37.19
"BRA",1988,36.96
"BRA",1989,37
"BRA",1990,36.8
"BRA",1991,37.11
"BRA",1992,37.37
"BRA",1993,37.47
"BRA",1994,37.5
"BRA",1995,37.39
"BRA",1996,37.08
"BRA",1997,36.98
"BRA",1998,36.68
"BRA",1999,36.52
"BRA",2000,36.5
"BRA",2001,36.35
"BRA",2002,36.33
"BRA",2003,36.39
"BRA",2004,36.57
"BRA",2005,36.61
"BRA",2006,36.71
"BRA",2007,36.6
"BRA",2008,36.42
"BLZ",1982,46.23
"BLZ",1983,46.5
"BLZ",1984,46.9
"BLZ",1985,47.02
"BLZ",1986,47.36
"BLZ",1987,47.79
"BLZ",1988,47.89
"BLZ",1989,47.64
"BLZ",1990,46.86
"BLZ",1991,46.25
"BLZ",1992,45.43
"BLZ",1993,44.97
"BLZ",1994,44.32
"BLZ",1995,44.36
"BLZ",1996,44.15
"BLZ",1997,44.07
"BLZ",1998,44.02
"BLZ",1999,44.1
"BLZ",2000,43.76
"BLZ",2001,42.76
"BLZ",2002,42.33
"BLZ",2003,42.01
"BLZ",2004,42
"BLZ",2005,41.96
"BLZ",2006,42.05
"BLZ",2007,42
"BLZ",2008,41.97
"SLB",1979,35.4
"SLB",1980,34.67
"SLB",1981,34.01
"SLB",1982,33.4
"SLB",1983,32.75
"SLB",1984,32.81
"SLB",1985,32.36
"SLB",1986,31.56
"SLB",1987,31.23
"SLB",1988,31.34
"SLB",1989,30.53
"SLB",1990,30.63
"SLB",1991,30.93
"SLB",1992,30.65
"SLB",1993,30.8
"SLB",1994,31.39
"SLB",1995,31.04
"SLB",1996,31.13
"SLB",1997,31.26
"SLB",1998,31.23
"SLB",1999,31.32
"SLB",2000,31.57
"SLB",2001,31.89
"SLB",2002,32.24
"SLB",2003,32.39
"SLB",2004,32.54
"SLB",2005,32.26
"SLB",2006,32.46
"SLB",2007,32.7
"SLB",2008,31.67
"BRN",1984,41.53
"BRN",1985,41.71
"BRN",1986,41.8
"BRN",1987,41.81
"BRN",1988,41.62
"BRN",1989,41.26
"BRN",1990,40.75
"BRN",1991,40.04
"BRN",1992,39.11
"BRN",1993,38.16
"BRN",1994,37.14
"BRN",1995,36.07
"BRN",1996,34.93
"BRN",1997,33.74
"BRN",1998,32.53
"BRN",1999,31.93
"BRN",2000,31.7
"BRN",2001,31.77
"BRN",2002,31.88
"BRN",2003,31.61
"BRN",2004,31.55
"BRN",2005,31.51
"BRN",2006,31.42
"BRN",2007,31.2
"BRN",2008,30.86
"BGR",1970,47.16
"BGR",1971,46.27
"BGR",1972,45.38
"BGR",1973,44.49
"BGR",1974,43.62
"BGR",1975,42.74
"BGR",1976,41.83
"BGR",1977,40.98
"BGR",1978,40.11
"BGR",1979,39.28
"BGR",1980,38.57
"BGR",1981,37.73
"BGR",1982,36.91
"BGR",1983,36.24
"BGR",1984,35.68
"BGR",1985,35.12
"BGR",1986,34.5
"BGR",1987,33.85
"BGR",1988,33.24
"BGR",1989,32.58
"BGR",1990,32.05
"BGR",1991,31.4
"BGR",1992,31.87
"BGR",1993,32.32
"BGR",1994,32.91
"BGR",1995,33.42
"BGR",1996,33.88
"BGR",1997,34.4
"BGR",1998,34.8
"BGR",1999,34.98
"BGR",2000,35.05
"BGR",2001,35.02
"BGR",2002,34.9
"BGR",2003,34.63
"BGR",2004,34.45
"BGR",2005,33.92
"BGR",2006,33.43
"BGR",2007,32.7
"BGR",2008,31.91
"BDI",1963,53.14
"BDI",1964,53.44
"BDI",1965,53.68
"BDI",1966,53.9
"BDI",1967,53.85
"BDI",1968,53.52
"BDI",1969,52.95
"BDI",1970,52.34
"BDI",1971,52.48
"BDI",1972,51.28
"BDI",1973,52.03
"BDI",1974,51.99
"BDI",1975,51.17
"BDI",1976,50.91
"BDI",1977,50.24
"BDI",1978,48.66
"BDI",1979,47.42
"BDI",1980,46.39
"BDI",1981,45.64
"BDI",1982,44.38
"BDI",1983,43.3
"BDI",1984,42.25
"BDI",1985,41.33
"BDI",1986,40.64
"BDI",1987,40.07
"BDI",1988,39.59
