"iso3c","year","lo","bq","cr"
"YUG",1986,2,1,3
"ZAF",1986,2,4,6
"ZMB",1986,2,1,2
"ZWE",1986,2,3,3
"AFG",1987,NA,NA,NA
"AGO",1987,2,2,3
"ALB",1987,4,1,4
"AND",1987,NA,NA,NA
"ARE",1987,3,2,3
"ARG",1987,3,2,4
"ATG",1987,NA,NA,NA
"AUS",1987,6,4,5
"AUT",1987,6,3.5,5
"BDI",1987,NA,NA,NA
"BEL",1987,6,4,5
"BEN",1987,NA,NA,NA
"BFA",1987,3,2,4
"BGD",1987,1,0,0
"BGR",1987,5,2,4
"BHR",1987,4,3,3
"BHS",1987,4,3,0
"BLZ",1987,NA,NA,NA
"BOL",1987,1,0,1.16666666666667
"BRA",1987,4,3,4
"BRB",1987,NA,NA,NA
"BRD",1987,5,4,5
"BRN",1987,4,3.5,5
"BTN",1987,NA,NA,NA
"BWA",1987,5,3,4
"CAF",1987,NA,NA,NA
"CAN",1987,6,4,6
"CHE",1987,6,4,6
"CHL",1987,4,2,3
"CHN",1987,3,2,3.16666666666667
"CIV",1987,4,3,3
"CMR",1987,3,3,2
"COD",1987,1,1,0
"COG",1987,2,1,3
"COL",1987,1,3,3
"COM",1987,NA,NA,NA
"CPV",1987,NA,NA,NA
"CRI",1987,4,2,5
"CUB",1987,5,2,3
"CYP",1987,2,3,3
"CZE",1987,5,2,4
"DDR",1987,5,2,5
"DJI",1987,NA,NA,NA
"DMA",1987,NA,NA,NA
"DNK",1987,6,4,6
"DOM",1987,3,2,3
"DZA",1987,2.08333333333333,1,4
"ECU",1987,4,2,3
"EGY",1987,3,2,2
"ESP",1987,4,3,4
"ETH",1987,3,0,3
"FIN",1987,6,4,6
"FJI",1987,NA,NA,NA
"FRA",1987,5,4,5
"GAB",1987,2,3,2
"GBR",1987,4,4,6
"GHA",1987,1,1,2
"GIN",1987,2.83333333333333,1,2.91666666666667
"GMB",1987,4,1,3
"GNB",1987,1,1,2
"GNQ",1987,NA,NA,NA
"GRC",1987,3,2,4.08333333333333
"GRD",1987,NA,NA,NA
"GTM",1987,1,0,2
"GUY",1987,1,0,1
"HND",1987,2,0,2
"HTI",1987,1,0,1
"HUN",1987,5,3,4
"IDN",1987,2,0,0
"IND",1987,2,3,3
"IRL",1987,4,3.5,5
"IRN",1987,2,1,3
"IRQ",1987,1,1,3
"ISL",1987,6,4,6
"ISR",1987,3,3,5
"ITA",1987,5,3,4
"JAM",1987,2,2,2
"JOR",1987,2,2,3
"JPN",1987,5,4,5
"KEN",1987,4,3,3
"KHM",1987,NA,NA,NA
"KNA",1987,NA,NA,NA
"KOR",1987,2,3,2
"KWT",1987,3,2,3
"LAO",1987,NA,NA,NA
"LBN",1987,1,1,3
"LBR",1987,2,0,1
"LBY",1987,1,1,3
"LCA",1987,NA,NA,NA
"LIE",1987,NA,NA,NA
"LKA",1987,1,2,3
"LSO",1987,NA,NA,NA
"LUX",1987,6,4,6
"MAR",1987,2,2.25,2
"MCO",1987,NA,NA,NA
"MDG",1987,4,2,4
"MDV",1987,NA,NA,NA
"MEX",1987,3,1.16666666666667,3
"MLI",1987,2,0,1
"MLT",1987,2,2,3
"MMR",1987,2,0,2
"MNG",1987,1,1,4
"MOZ",1987,3,2,4
"MRT",1987,NA,NA,NA
"MUS",1987,NA,NA,NA
"MWI",1987,2,1,4
"MYS",1987,5,2.83333333333333,4
"NCL",1987,2,3,2
"NER",1987,4,3,4
"NGA",1987,1,1,2
"NIC",1987,2,1,5
"NLD",1987,6,4,6
"NOR",1987,6,3.5,6
"NPL",1987,NA,NA,NA
"NZL",1987,6,4,6
"OMN",1987,3,2,3
"PAK",1987,2,2,2
"PAN",1987,2,0,2
"PER",1987,1,1,3
"PHL",1987,1,0.666666666666667,2
"PNG",1987,3.91666666666667,3,3.16666666666667
"POL",1987,4,1,4
"PRK",1987,2.41666666666667,2,5
"PRT",1987,5,2,4.41666666666667
"PRY",1987,2,0,0
"QAT",1987,3,1,2
"ROU",1987,2,0,2
"RWA",1987,NA,NA,NA
"SAU",1987,4,3,3
"SDN",1987,2,0,2
"SEN",1987,2,2,3
"SGP",1987,5,3.5,6
"SLB",1987,NA,NA,NA
"SLE",1987,3,2,2
"SLV",1987,1,0,2
"SMR",1987,NA,NA,NA
"SOM",1987,3,1,4
"SOV",1987,2,2,4
"STP",1987,NA,NA,NA
"SUR",1987,1,1,2
"SWE",1987,6,4,6
"SWZ",1987,NA,NA,NA
"SYC",1987,NA,NA,NA
"SYR",1987,2,1,2
"TCD",1987,NA,NA,NA
"TGO",1987,2,1,2
"THA",1987,3,3,3
"TTO",1987,4,2,2.08333333333333
"TUN",1987,2,2,3
"TUR",1987,3,2,3
"TWN",1987,5,3,4
"TZA",1987,3,0,3
"UGA",1987,1,0,2.75
"URY",1987,3,1,3
"USA",1987,6,4,5
"VCT",1987,NA,NA,NA
"VEN",1987,4,2,3
"VNM",1987,3,1,2.33333333333333
"VUT",1987,NA,NA,NA
"WSM",1987,NA,NA,NA
"YAR",1987,NA,NA,NA
"YPR",1987,NA,NA,NA
"YUG",1987,2,1,3
"ZAF",1987,2,4,5.33333333333333
"ZMB",1987,2,1,2
"ZWE",1987,2,3,3
"AFG",1988,NA,NA,NA
"AGO",1988,2,2,3
"ALB",1988,4,1,4
"AND",1988,NA,NA,NA
"ARE",1988,3,2,3
"ARG",1988,3,2,4
"ATG",1988,NA,NA,NA
"AUS",1988,6,4,5
"AUT",1988,6,3.79166666666667,5
"BDI",1988,NA,NA,NA
"BEL",1988,6,4,5
"BEN",1988,NA,NA,NA
"BFA",1988,3,2,4
"BGD",1988,1,0,0
"BGR",1988,5,2,3.91666666666667
"BHR",1988,4,3,3
"BHS",1988,4,3,0
"BLZ",1988,NA,NA,NA
"BOL",1988,1,0,2
"BRA",1988,4,3,4
"BRB",1988,NA,NA,NA
"BRD",1988,5.91666666666667,3.95833333333333,5
"BRN",1988,4,3.5,5
"BTN",1988,NA,NA,NA
"BWA",1988,5,3,4
"CAF",1988,NA,NA,NA
"CAN",1988,6,4,6
"CHE",1988,6,4,6
"CHL",1988,4,2,3
"CHN",1988,3,2,4
"CIV",1988,4,3,3
"CMR",1988,3,3,2
"COD",1988,1,1,0
"COG",1988,2,1,3
"COL",1988,1,3,3
"COM",1988,NA,NA,NA
"CPV",1988,NA,NA,NA
"CRI",1988,4,2,5
"CUB",1988,5,2,3
"CYP",1988,2.58333333333333,3,3
"CZE",1988,5,2,4
"DDR",1988,5,2,5
"DJI",1988,NA,NA,NA
"DMA",1988,NA,NA,NA
"DNK",1988,6,4,6
"DOM",1988,3,2,3
"DZA",1988,2.75,2.08333333333333,4
"ECU",1988,4,2,3
"EGY",1988,2,2,2
"ESP",1988,4,3,4
"ETH",1988,3,0,3
"FIN",1988,6,4,6
"FJI",1988,NA,NA,NA
"FRA",1988,5,4,5
"GAB",1988,2,3,2
"GBR",1988,4,4,5.5
"GHA",1988,1.16666666666667,1.08333333333333,2.08333333333333
"GIN",1988,3,1,3
"GMB",1988,3.5,1,3
"GNB",1988,1,1,2
"GNQ",1988,NA,NA,NA
"GRC",1988,3,2,5
"GRD",1988,NA,NA,NA
"GTM",1988,1,0,2
"GUY",1988,1,0,1
"HND",1988,2,1,2
