"iso3c","year","oil","exporter"
"BDI",2010,0,0
"BDI",2011,0,0
"BDI",2012,0,0
"BDI",2013,0,0
"BDI",2014,0,0
"BDI",2015,0,0
"BDI",2016,0,0
"BEL",1980,0.745,0
"BEL",1981,0,0
"BEL",1982,3.352,0
"BEL",1983,1.595,0
"BEL",1984,1.571,0
"BEL",1985,0,0
"BEL",1986,0.101,0
"BEL",1987,0,0
"BEL",1988,0.242,0
"BEL",1989,0,0
"BEL",1990,0,0
"BEL",1991,0,0
"BEL",1992,0,0
"BEL",1993,0,0
"BEL",1994,0,0
"BEL",1995,0,0
"BEL",1996,0,0
"BEL",1997,0,0
"BEL",1998,0,0
"BEL",1999,0,0
"BEL",2000,0,0
"BEL",2001,0,0
"BEL",2002,0,0
"BEL",2003,0,0
"BEL",2004,0,0
"BEL",2005,0,0
"BEL",2006,0,0
"BEL",2007,0,0
"BEL",2008,0,0
"BEL",2009,0,0
"BEL",2010,0,0
"BEL",2011,0,0
"BEL",2012,0,0
"BEL",2013,0,0
"BEL",2014,0,0
"BEL",2015,0,0
"BEL",2016,0,0
"BEN",1980,3.188,0
"BEN",1981,4.3,0
"BEN",1982,4.58,0
"BEN",1983,0.46,0
"BEN",1984,0.1,0
"BEN",1985,6.5,0
"BEN",1986,7.3,0
"BEN",1987,6.24,0
"BEN",1988,4.76,0
"BEN",1989,3.82,0
"BEN",1990,3.876,0
"BEN",1991,3.715,0
"BEN",1992,2.563,0
"BEN",1993,4.217,0
"BEN",1994,3.555,0
"BEN",1995,2.611,0
"BEN",1996,2.243,0
"BEN",1997,1.807,0
"BEN",1998,0.984,0
"BEN",1999,0.984,0
"BEN",2000,0.701,0
"BEN",2001,0,0
"BEN",2002,0,0
"BEN",2003,0,0
"BEN",2004,0,0
"BEN",2005,0,0
"BEN",2006,0,0
"BEN",2007,0,0
"BEN",2008,0,0
"BEN",2009,0,0
"BEN",2010,0,0
"BEN",2011,0,0
"BEN",2012,0,0
"BEN",2013,0,0
"BEN",2014,0,0
"BEN",2015,0,0
"BEN",2016,0,0
"BFA",1980,0,0
"BFA",1981,0,0
"BFA",1982,0,0
"BFA",1983,0,0
"BFA",1984,0,0
"BFA",1985,0,0
"BFA",1986,0,0
"BFA",1987,0,0
"BFA",1988,0,0
"BFA",1989,0,0
"BFA",1990,0,0
"BFA",1991,0,0
"BFA",1992,0,0
"BFA",1993,0,0
"BFA",1994,0,0
"BFA",1995,0,0
"BFA",1996,0,0
"BFA",1997,0,0
"BFA",1998,0,0
"BFA",1999,0,0
"BFA",2000,0,0
