"","iso3c","year","cn"
"536","HTI",1957,1
"537","HTI",1958,1
"538","HTI",1959,1
"539","HTI",1960,1
"540","HTI",1961,1
"541","HTI",1962,1
"542","HTI",1963,1
"543","HTI",1964,1
"544","HTI",1965,1
"545","HTI",1966,1
"546","HTI",1967,1
"547","HTI",1968,1
"548","HTI",1969,1
"549","HTI",1970,1
"550","HTI",1971,1
"551","HTI",1972,1
"552","HTI",1973,1
"553","HTI",1974,1
"554","HTI",1975,1
"555","HTI",1976,1
"556","HTI",1977,1
"557","HTI",1978,1
"558","HTI",1979,1
"559","HTI",1980,1
"560","HTI",1981,1
"561","HTI",1982,1
"562","HTI",1983,1
"563","HTI",1984,1
"564","HTI",1985,1
"565","HTI",1986,1
"566","HTI",1987,1
"567","HTI",1988,1
"568","HTI",1989,1
"569","HTI",1990,1
"570","HTI",1991,1
"571","HTI",1992,1
"572","HTI",1993,1
"573","HTI",1994,1
"574","HTI",1995,1
"575","HTI",1996,1
"576","HTI",1997,1
"577","HTI",1998,1
"578","HTI",1999,1
"579","HTI",2000,1
"580","HTI",2001,1
"581","HTI",2002,1
"582","HTI",2003,1
"583","HTI",2004,1
"584","HTI",2005,1
"585","HTI",2006,1
"586","HTI",2007,1
"587","HTI",2008,1
"588","HTI",2009,1
"589","HTI",2010,1
"590","HTI",2011,1
"591","HTI",2012,1
"592","HTI",2013,1
"593","HTI",2014,1
"594","HTI",2015,1
"595","HTI",2016,1
"596","DOM",1894,1
"597","DOM",1895,1
"598","DOM",1896,1
"599","DOM",1897,1
"600","DOM",1898,1
"601","DOM",1899,1
"602","DOM",1900,1
"603","DOM",1901,1
"604","DOM",1902,1
"605","DOM",1903,1
"606","DOM",1904,1
"607","DOM",1905,1
"608","DOM",1906,1
"609","DOM",1907,1
"610","DOM",1908,1
"611","DOM",1909,1
"612","DOM",1910,1
"613","DOM",1911,1
"614","DOM",1912,1
"615","DOM",1913,1
"616","DOM",1914,1
"617","DOM",1915,1
"618","DOM",1916,1
"619","DOM",1924,1
"620","DOM",1925,1
"621","DOM",1926,1
"622","DOM",1927,1
"623","DOM",1928,1
"624","DOM",1929,1
"625","DOM",1930,1
"626","DOM",1931,1
"627","DOM",1932,1
"628","DOM",1933,1
"629","DOM",1934,1
"630","DOM",1935,1
"631","DOM",1936,1
"632","DOM",1937,1
"633","DOM",1938,1
"634","DOM",1939,1
"635","DOM",1940,1
"636","DOM",1941,1
"637","DOM",1942,1
"638","DOM",1943,1
"639","DOM",1944,1
"640","DOM",1945,1
"641","DOM",1946,1
"642","DOM",1947,1
"643","DOM",1948,1
"644","DOM",1949,1
"645","DOM",1950,1
"646","DOM",1951,1
"647","DOM",1952,1
"648","DOM",1953,1
"649","DOM",1954,1
"650","DOM",1955,1
"651","DOM",1956,1
"652","DOM",1957,1
"653","DOM",1958,1
"654","DOM",1959,1
"655","DOM",1960,1
"656","DOM",1961,1
"657","DOM",1962,1
"658","DOM",1963,1
"659","DOM",1964,1
"660","DOM",1965,1
"661","DOM",1966,1
"662","DOM",1967,1
"663","DOM",1968,1
"664","DOM",1969,1
"665","DOM",1970,1
"666","DOM",1971,1
"667","DOM",1972,1
"668","DOM",1973,1
"669","DOM",1974,1
"670","DOM",1975,1
"671","DOM",1976,1
"672","DOM",1977,1
"673","DOM",1978,1
"674","DOM",1979,1
"675","DOM",1980,1
"676","DOM",1981,1
"677","DOM",1982,1
"678","DOM",1983,1
"679","DOM",1984,1
"680","DOM",1985,1
"681","DOM",1986,1
"682","DOM",1987,1
"683","DOM",1988,1
"684","DOM",1989,1
"685","DOM",1990,1
"686","DOM",1991,1
"687","DOM",1992,1
"688","DOM",1993,1
"689","DOM",1994,1
"690","DOM",1995,1
"691","DOM",1996,1
"692","DOM",1997,1
"693","DOM",1998,1
"694","DOM",1999,1
"695","DOM",2000,1
"696","DOM",2001,1
"697","DOM",2002,1
"698","DOM",2003,1
"699","DOM",2004,1
"700","DOM",2005,1
"701","DOM",2006,1
"702","DOM",2007,1
"703","DOM",2008,1
"704","DOM",2009,1
"705","DOM",2010,1
"706","DOM",2011,1
"707","DOM",2012,1
"708","DOM",2013,1
"709","DOM",2014,1
"710","DOM",2015,1
"711","DOM",2016,1
"712","JAM",1962,1
"713","JAM",1963,1
"714","JAM",1964,1
"715","JAM",1965,1
"716","JAM",1966,1
"717","JAM",1967,1
"718","JAM",1968,1
"719","JAM",1969,1
"720","JAM",1970,1
"721","JAM",1971,1
"722","JAM",1972,1
"723","JAM",1973,1
"724","JAM",1974,1
"725","JAM",1975,1
"726","JAM",1976,1
"727","JAM",1977,1
"728","JAM",1978,1
"729","JAM",1979,1
"730","JAM",1980,1
"731","JAM",1981,1
"732","JAM",1982,1
"733","JAM",1983,1
"734","JAM",1984,1
"735","JAM",1985,1
"736","JAM",1986,1
"737","JAM",1987,1
"738","JAM",1988,1
"739","JAM",1989,1
"740","JAM",1990,1
"741","JAM",1991,1
"742","JAM",1992,1
"743","JAM",1993,1
"744","JAM",1994,1
"745","JAM",1995,1
"746","JAM",1996,1
"747","JAM",1997,1
"748","JAM",1998,1
"749","JAM",1999,1
"750","JAM",2000,1
"751","JAM",2001,1
"752","JAM",2002,1
"753","JAM",2003,1
"754","JAM",2004,1
"755","JAM",2005,1
"756","JAM",2006,1
"757","JAM",2007,1
"758","JAM",2008,1
"759","JAM",2009,1
"760","JAM",2010,1
"761","JAM",2011,1
"762","JAM",2012,1
"763","JAM",2013,1
"764","JAM",2014,1
"765","JAM",2015,1
"766","JAM",2016,1
"767","TTO",1962,1
"768","TTO",1963,1
"769","TTO",1964,1
"770","TTO",1965,1
"771","TTO",1966,1
"772","TTO",1967,1
"773","TTO",1968,1
"774","TTO",1969,1
"775","TTO",1970,1
"776","TTO",1971,1
"777","TTO",1972,1
"778","TTO",1973,1
"779","TTO",1974,1
"780","TTO",1975,1
"781","TTO",1976,1
"782","TTO",1977,1
"783","TTO",1978,1
"784","TTO",1979,1
"785","TTO",1980,1
"786","TTO",1981,1
"787","TTO",1982,1
"788","TTO",1983,1
"789","TTO",1984,1
"790","TTO",1985,1
"791","TTO",1986,1
"792","TTO",1987,1
"793","TTO",1988,1
"794","TTO",1989,1
"795","TTO",1990,1
"796","TTO",1991,1
"797","TTO",1992,1
"798","TTO",1993,1
"799","TTO",1994,1
"800","TTO",1995,1
"801","TTO",1996,1
"802","TTO",1997,1
"803","TTO",1998,1
"804","TTO",1999,1
"805","TTO",2000,1
"806","TTO",2001,1
"807","TTO",2002,1
"808","TTO",2003,1
"809","TTO",2004,1
"810","TTO",2005,1
"811","TTO",2006,1
"812","TTO",2007,1
"813","TTO",2008,1
"814","TTO",2009,1
"815","TTO",2010,1
"816","TTO",2011,1
"817","TTO",2012,1
"818","TTO",2013,1
"819","TTO",2014,1
"820","TTO",2015,1
"821","TTO",2016,1
"822","BRB",1966,1
"823","BRB",1967,1
"824","BRB",1968,1
"825","BRB",1969,1
"826","BRB",1970,1
"827","BRB",1971,1
"828","BRB",1972,1
"829","BRB",1973,1
"830","BRB",1974,1
"831","BRB",1975,1
"832","BRB",1976,1
"833","BRB",1977,1
"834","BRB",1978,1
"835","BRB",1979,1
"836","BRB",1980,1
"837","BRB",1981,1
"838","BRB",1982,1
"839","BRB",1983,1
"840","BRB",1984,1
"841","BRB",1985,1
"842","BRB",1986,1
"843","BRB",1987,1
"844","BRB",1988,1
"845","BRB",1989,1
"846","BRB",1990,1
"847","BRB",1991,1
"848","BRB",1992,1
"849","BRB",1993,1
"850","BRB",1994,1
"851","BRB",1995,1
"852","BRB",1996,1
"853","BRB",1997,1
"854","BRB",1998,1
"855","BRB",1999,1
"856","BRB",2000,1
"857","BRB",2001,1
"858","BRB",2002,1
"859","BRB",2003,1
"860","BRB",2004,1
"861","BRB",2005,1
"862","BRB",2006,1
"863","BRB",2007,1
"864","BRB",2008,1
"865","BRB",2009,1
"866","BRB",2010,1
"867","BRB",2011,1
"868","BRB",2012,1
"869","BRB",2013,1
"870","BRB",2014,1
"871","BRB",2015,1
"872","BRB",2016,1
"873","DMA",1978,1
"874","DMA",1979,1
"875","DMA",1980,1
"876","DMA",1981,1
"877","DMA",1982,1
"878","DMA",1983,1
"879","DMA",1984,1
"880","DMA",1985,1
"881","DMA",1986,1
"882","DMA",1987,1
"883","DMA",1988,1
"884","DMA",1989,1
"885","DMA",1990,1
"886","DMA",1991,1
"887","DMA",1992,1
"888","DMA",1993,1
"889","DMA",1994,1
"890","DMA",1995,1
"891","DMA",1996,1
"892","DMA",1997,1
"893","DMA",1998,1
"894","DMA",1999,1
"895","DMA",2000,1
"896","DMA",2001,1
"897","DMA",2002,1
"898","DMA",2003,1
"899","DMA",2004,1
"900","DMA",2005,1
"901","DMA",2006,1
